frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.77,0.00,5.77,0.00,-0.00,-0.00,-0.00,5.77,5.77,5.77
20.20,5.77,0.00,5.77,0.00,-0.00,-0.00,-0.00,5.77,5.77,5.77
20.40,5.77,0.00,5.77,0.00,-0.00,-0.00,-0.00,5.77,5.77,5.77
20.61,5.77,0.00,5.77,0.00,-0.00,-0.00,-0.00,5.77,5.77,5.77
20.81,5.77,0.00,5.77,0.00,-0.00,-0.00,-0.00,5.77,5.77,5.77
21.02,5.77,0.00,5.77,0.00,-0.00,-0.00,-0.00,5.77,5.77,5.77
21.23,5.77,0.00,5.77,0.00,-0.00,-0.00,-0.00,5.77,5.77,5.77
21.44,5.77,0.00,5.77,0.00,-0.00,-0.00,-0.00,5.77,5.77,5.77
21.66,5.77,0.00,5.77,0.00,-0.00,-0.00,-0.00,5.77,5.77,5.77
21.87,5.77,0.00,5.77,0.00,-0.00,-0.00,-0.00,5.77,5.77,5.77
22.09,5.76,0.00,5.76,0.00,-0.00,-0.00,-0.00,5.76,5.76,5.76
22.31,5.76,0.00,5.76,0.00,-0.00,-0.00,-0.00,5.76,5.76,5.76
22.54,5.76,0.00,5.76,0.00,-0.00,-0.00,-0.00,5.76,5.76,5.76
22.76,5.75,0.00,5.75,0.00,-0.00,-0.00,-0.00,5.75,5.75,5.75
22.99,5.75,0.00,5.75,0.00,-0.00,-0.00,-0.00,5.75,5.75,5.75
23.22,5.74,0.00,5.74,0.00,-0.00,-0.00,-0.00,5.74,5.74,5.74
23.45,5.74,0.00,5.74,0.00,-0.00,-0.00,-0.00,5.74,5.74,5.74
23.69,5.73,0.00,5.73,0.00,-0.00,-0.00,-0.00,5.73,5.73,5.73
23.92,5.72,0.00,5.72,0.00,-0.00,-0.00,-0.00,5.72,5.72,5.72
24.16,5.72,0.00,5.72,0.00,-0.00,-0.00,-0.00,5.72,5.72,5.72
24.40,5.71,0.00,5.71,0.00,-0.00,-0.00,-0.00,5.71,5.71,5.71
24.65,5.70,0.00,5.70,0.00,-0.00,-0.00,-0.00,5.70,5.70,5.70
24.89,5.69,0.00,5.69,0.00,-0.00,-0.00,-0.00,5.69,5.69,5.69
25.14,5.69,0.00,5.69,0.00,-0.00,-0.00,-0.00,5.69,5.69,5.69
25.39,5.68,0.00,5.68,0.00,-0.00,-0.00,-0.00,5.68,5.68,5.68
25.65,5.67,0.00,5.67,0.00,-0.00,-0.00,-0.00,5.67,5.67,5.67
25.91,5.66,0.00,5.66,0.00,-0.00,-0.00,-0.00,5.66,5.66,5.66
26.16,5.65,0.00,5.65,0.00,-0.00,-0.00,-0.00,5.65,5.65,5.65
26.43,5.64,0.00,5.64,0.00,-0.00,-0.00,-0.00,5.64,5.64,5.64
26.69,5.62,0.00,5.62,0.00,-0.00,-0.00,-0.00,5.62,5.62,5.62
26.96,5.61,0.00,5.61,0.00,-0.00,-0.00,-0.00,5.61,5.61,5.61
27.23,5.60,0.00,5.60,0.00,-0.00,-0.00,-0.00,5.60,5.60,5.60
27.50,5.59,0.00,5.59,0.00,-0.00,-0.00,-0.00,5.59,5.59,5.59
27.77,5.57,0.00,5.57,0.00,-0.00,-0.00,-0.00,5.57,5.57,5.57
28.05,5.56,0.00,5.56,0.00,-0.00,-0.00,-0.00,5.56,5.56,5.56
28.33,5.55,0.00,5.55,0.00,-0.00,-0.00,-0.00,5.55,5.55,5.55
28.62,5.53,0.00,5.53,0.00,-0.00,-0.00,-0.00,5.53,5.53,5.53
28.90,5.51,0.00,5.51,0.00,-0.00,-0.00,-0.00,5.51,5.51,5.51
29.19,5.50,0.00,5.50,0.00,-0.00,-0.00,-0.00,5.50,5.50,5.50
29.48,5.48,0.00,5.48,0.00,-0.00,-0.00,-0.00,5.48,5.48,5.48
29.78,5.46,0.00,5.46,0.00,-0.00,-0.00,-0.00,5.46,5.46,5.46
30.08,5.44,0.00,5.44,0.00,-0.00,-0.00,-0.00,5.44,5.44,5.44
30.38,5.42,0.00,5.42,0.00,-0.00,-0.00,-0.00,5.42,5.42,5.42
30.68,5.40,0.00,5.40,0.00,-0.00,-0.00,-0.00,5.40,5.40,5.40
30.99,5.38,0.00,5.38,0.00,-0.00,-0.00,-0.00,5.38,5.38,5.38
31.30,5.36,0.00,5.36,0.00,-0.00,-0.00,-0.00,5.36,5.36,5.36
31.61,5.34,0.00,5.34,0.00,-0.00,-0.00,-0.00,5.34,5.34,5.34
31.93,5.32,0.00,5.32,0.00,-0.00,-0.00,-0.00,5.32,5.32,5.32
32.24,5.30,0.00,5.30,0.00,-0.00,-0.00,-0.00,5.30,5.30,5.30
32.57,5.27,0.00,5.27,0.00,-0.00,-0.00,-0.00,5.27,5.27,5.27
32.89,5.25,0.00,5.25,0.00,-0.00,-0.00,-0.00,5.25,5.25,5.25
33.22,5.23,0.00,5.23,0.00,-0.00,-0.00,-0.00,5.23,5.23,5.23
33.55,5.21,0.00,5.21,0.00,-0.00,-0.00,-0.00,5.21,5.21,5.21
33.89,5.18,0.00,5.18,0.00,-0.00,-0.00,-0.00,5.18,5.18,5.18
34.23,5.16,0.00,5.16,0.00,-0.00,-0.00,-0.00,5.16,5.16,5.16
34.57,5.14,0.00,5.14,0.00,-0.00,-0.00,-0.00,5.14,5.14,5.14
34.92,5.12,0.00,5.12,0.00,-0.00,-0.00,-0.00,5.12,5.12,5.12
35.27,5.09,0.00,5.09,0.00,-0.00,-0.00,-0.00,5.09,5.09,5.09
35.62,5.07,0.00,5.07,0.00,-0.00,-0.00,-0.00,5.07,5.07,5.07
35.97,5.05,0.00,5.05,0.00,-0.00,-0.00,-0.00,5.05,5.05,5.05
36.33,5.03,0.00,5.03,0.00,-0.00,-0.00,-0.00,5.03,5.03,5.03
36.70,5.01,0.00,5.01,0.00,-0.00,-0.00,-0.00,5.01,5.01,5.01
37.06,4.98,0.00,4.98,0.00,-0.00,-0.00,-0.00,4.98,4.98,4.98
37.43,4.96,0.00,4.96,0.00,-0.00,-0.00,-0.00,4.96,4.96,4.96
37.81,4.94,0.00,4.94,0.00,-0.00,-0.00,-0.00,4.94,4.94,4.94
38.19,4.92,0.00,4.92,0.00,-0.00,-0.00,-0.00,4.92,4.92,4.92
38.57,4.90,0.00,4.90,0.00,-0.00,-0.00,-0.00,4.90,4.90,4.90
38.95,4.87,0.00,4.87,0.00,-0.00,-0.00,-0.00,4.87,4.87,4.87
39.34,4.85,0.00,4.85,0.00,-0.00,-0.00,-0.00,4.85,4.85,4.85
39.74,4.83,0.00,4.83,0.00,-0.00,-0.00,-0.00,4.83,4.83,4.83
40.14,4.80,0.00,4.80,0.00,-0.00,-0.00,-0.00,4.80,4.80,4.80
40.54,4.78,0.00,4.78,0.00,-0.00,-0.00,-0.00,4.78,4.78,4.78
40.94,4.75,0.00,4.75,0.00,-0.00,-0.00,-0.00,4.75,4.75,4.75
41.35,4.73,0.00,4.73,0.00,-0.00,-0.00,-0.00,4.73,4.73,4.73
41.76,4.70,0.00,4.70,0.00,-0.00,-0.00,-0.00,4.70,4.70,4.70
42.18,4.68,0.00,4.68,0.00,-0.00,-0.00,-0.00,4.68,4.68,4.68
42.60,4.65,0.00,4.65,0.00,-0.00,-0.00,-0.00,4.65,4.65,4.65
43.03,4.63,0.00,4.63,0.00,-0.00,-0.00,-0.00,4.63,4.63,4.63
43.46,4.60,0.00,4.60,0.00,-0.00,-0.00,-0.00,4.60,4.60,4.60
43.90,4.57,0.00,4.57,0.00,-0.00,-0.00,-0.00,4.57,4.57,4.57
44.33,4.54,0.00,4.54,0.00,-0.00,-0.00,-0.00,4.54,4.54,4.54
44.78,4.52,0.00,4.52,0.00,-0.00,-0.00,-0.00,4.52,4.52,4.52
45.23,4.49,0.00,4.49,0.00,-0.00,-0.00,-0.00,4.49,4.49,4.49
45.68,4.46,0.00,4.46,0.00,-0.00,-0.00,-0.00,4.46,4.46,4.46
46.13,4.43,0.00,4.43,0.00,-0.00,-0.00,-0.00,4.43,4.43,4.43
46.60,4.40,0.00,4.40,0.00,-0.00,-0.00,-0.00,4.40,4.40,4.40
47.06,4.37,0.00,4.37,0.00,-0.00,-0.00,-0.00,4.37,4.37,4.37
47.53,4.34,0.00,4.34,0.00,-0.00,-0.00,-0.00,4.34,4.34,4.34
48.01,4.31,0.00,4.31,0.00,-0.00,-0.00,-0.00,4.31,4.31,4.31
48.49,4.28,0.00,4.28,0.00,-0.00,-0.00,-0.00,4.28,4.28,4.28
48.97,4.25,0.00,4.25,0.00,-0.00,-0.00,-0.00,4.25,4.25,4.25
49.46,4.22,0.00,4.22,0.00,-0.00,-0.00,-0.00,4.22,4.22,4.22
49.96,4.19,0.00,4.19,0.00,-0.00,-0.00,-0.00,4.19,4.19,4.19
50.46,4.16,0.00,4.16,0.00,-0.00,-0.00,-0.00,4.16,4.16,4.16
50.96,4.13,0.00,4.13,0.00,-0.00,-0.00,-0.00,4.13,4.13,4.13
51.47,4.10,0.00,4.10,0.00,-0.00,-0.00,-0.00,4.10,4.10,4.10
51.99,4.07,0.00,4.07,0.00,-0.00,-0.00,-0.00,4.07,4.07,4.07
52.51,4.03,0.00,4.03,0.00,-0.00,-0.00,-0.00,4.03,4.03,4.03
53.03,4.00,0.00,4.00,0.00,-0.00,-0.00,-0.00,4.00,4.00,4.00
53.56,3.97,0.00,3.97,0.00,-0.00,-0.00,-0.00,3.97,3.97,3.97
54.10,3.94,0.00,3.94,0.00,-0.00,-0.00,-0.00,3.94,3.94,3.94
54.64,3.90,0.00,3.90,0.00,-0.00,-0.00,-0.00,3.90,3.90,3.90
55.18,3.87,0.00,3.87,0.00,-0.00,-0.00,-0.00,3.87,3.87,3.87
55.74,3.83,0.00,3.83,0.00,-0.00,-0.00,-0.00,3.83,3.83,3.83
56.29,3.80,0.00,3.80,0.00,-0.00,-0.00,-0.00,3.80,3.80,3.80
56.86,3.76,0.00,3.76,0.00,-0.00,-0.00,-0.00,3.76,3.76,3.76
57.42,3.73,0.00,3.73,0.00,-0.00,-0.00,-0.00,3.73,3.73,3.73
58.00,3.69,0.00,3.69,0.00,-0.00,-0.00,-0.00,3.69,3.69,3.69
58.58,3.66,0.00,3.66,0.00,-0.00,-0.00,-0.00,3.66,3.66,3.66
59.16,3.62,0.00,3.62,0.00,-0.00,-0.00,-0.00,3.62,3.62,3.62
59.76,3.58,0.00,3.58,0.00,-0.00,-0.00,-0.00,3.58,3.58,3.58
60.35,3.55,0.00,3.55,0.00,-0.00,-0.00,-0.00,3.55,3.55,3.55
60.96,3.51,0.00,3.51,0.00,-0.00,-0.00,-0.00,3.51,3.51,3.51
61.57,3.47,0.00,3.47,0.00,-0.00,-0.00,-0.00,3.47,3.47,3.47
