frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.49,0.00,12.49,0.00,-0.00,-0.00,-0.00,12.49,12.49,12.49
20.20,12.51,0.00,12.51,0.00,-0.00,-0.00,-0.00,12.51,12.51,12.51
20.40,12.53,0.00,12.53,0.00,-0.00,-0.00,-0.00,12.53,12.53,12.53
20.61,12.54,0.00,12.54,0.00,-0.00,-0.00,-0.00,12.54,12.54,12.54
20.81,12.55,0.00,12.55,0.00,-0.00,-0.00,-0.00,12.55,12.55,12.55
21.02,12.55,0.00,12.55,0.00,-0.00,-0.00,-0.00,12.55,12.55,12.55
21.23,12.55,0.00,12.55,0.00,-0.00,-0.00,-0.00,12.55,12.55,12.55
21.44,12.54,0.00,12.54,0.00,-0.00,-0.00,-0.00,12.54,12.54,12.54
21.66,12.52,0.00,12.52,0.00,-0.00,-0.00,-0.00,12.52,12.52,12.52
21.87,12.50,0.00,12.50,0.00,-0.00,-0.00,-0.00,12.50,12.50,12.50
22.09,12.49,0.00,12.49,0.00,-0.00,-0.00,-0.00,12.49,12.49,12.49
22.31,12.47,0.00,12.47,0.00,-0.00,-0.00,-0.00,12.47,12.47,12.47
22.54,12.46,0.00,12.46,0.00,-0.00,-0.00,-0.00,12.46,12.46,12.46
22.76,12.44,0.00,12.44,0.00,-0.00,-0.00,-0.00,12.44,12.44,12.44
22.99,12.43,0.00,12.43,0.00,-0.00,-0.00,-0.00,12.43,12.43,12.43
23.22,12.41,0.00,12.41,0.00,-0.00,-0.00,-0.00,12.41,12.41,12.41
23.45,12.40,0.00,12.39,0.00,-0.00,-0.00,-0.00,12.40,12.39,12.40
23.69,12.37,0.00,12.37,0.00,-0.00,-0.00,-0.00,12.37,12.37,12.37
23.92,12.35,0.00,12.35,0.00,-0.00,-0.00,-0.00,12.35,12.35,12.35
24.16,12.32,0.00,12.32,0.00,-0.00,-0.00,-0.00,12.32,12.32,12.32
