frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.29,0.00,7.29,0.00,-0.00,-0.00,-0.00,7.29,7.29,7.29
20.20,7.15,0.00,7.16,0.00,-0.00,-0.00,-0.00,7.15,7.16,7.15
20.40,7.02,0.00,7.02,0.00,-0.00,-0.00,-0.00,7.02,7.02,7.02
20.61,6.89,0.00,6.89,0.00,-0.00,-0.00,-0.00,6.89,6.89,6.89
20.81,6.76,0.00,6.76,0.00,-0.00,-0.00,-0.00,6.76,6.76,6.76
21.02,6.62,0.00,6.62,0.00,-0.00,-0.00,-0.00,6.62,6.62,6.62
21.23,6.49,0.00,6.48,0.00,-0.00,-0.00,-0.00,6.49,6.48,6.49
21.44,6.35,0.00,6.35,0.00,-0.00,-0.00,-0.00,6.35,6.35,6.35
21.66,6.21,0.00,6.21,0.00,-0.00,-0.00,-0.00,6.21,6.21,6.21
21.87,6.08,0.00,6.09,0.00,-0.00,-0.00,-0.00,6.08,6.09,6.08
22.09,5.98,0.00,5.98,0.00,-0.00,-0.00,-0.00,5.98,5.98,5.98
22.31,5.90,0.00,5.90,0.00,-0.00,-0.00,-0.00,5.90,5.90,5.90
22.54,5.85,0.00,5.85,0.00,-0.00,-0.00,-0.00,5.85,5.85,5.85
22.76,5.82,0.00,5.83,0.00,-0.00,-0.00,-0.00,5.82,5.83,5.82
22.99,5.83,0.00,5.84,0.00,-0.00,-0.00,-0.00,5.83,5.84,5.83
23.22,5.87,0.00,5.86,0.00,-0.00,-0.00,-0.00,5.87,5.86,5.87
23.45,5.90,0.00,5.90,0.00,-0.00,-0.00,-0.00,5.90,5.90,5.90
23.69,5.94,0.00,5.94,0.00,-0.00,-0.00,-0.00,5.94,5.94,5.94
23.92,5.97,0.00,5.97,0.00,-0.00,-0.00,-0.00,5.97,5.97,5.97
24.16,5.98,0.00,5.98,0.00,-0.00,-0.00,-0.00,5.98,5.98,5.98
24.40,5.98,0.00,5.98,0.00,-0.00,-0.00,-0.00,5.98,5.98,5.98
24.65,5.97,0.00,5.97,0.00,-0.00,-0.00,-0.00,5.97,5.97,5.97
24.89,5.95,0.00,5.95,0.00,-0.00,-0.00,-0.00,5.95,5.95,5.95
25.14,5.94,0.00,5.94,0.00,-0.00,-0.00,-0.00,5.94,5.94,5.94
25.39,5.94,0.00,5.94,0.00,-0.00,-0.00,-0.00,5.94,5.94,5.94
25.65,5.96,0.00,5.96,0.00,-0.00,-0.00,-0.00,5.96,5.96,5.96
25.91,6.00,0.00,6.00,0.00,-0.00,-0.00,-0.00,6.00,6.00,6.00
26.16,6.06,0.00,6.06,0.00,-0.00,-0.00,-0.00,6.06,6.06,6.06
26.43,6.13,0.00,6.13,0.00,-0.00,-0.00,-0.00,6.13,6.13,6.13
26.69,6.22,0.00,6.22,0.00,-0.00,-0.00,-0.00,6.22,6.22,6.22
26.96,6.31,0.00,6.31,0.00,-0.00,-0.00,-0.00,6.31,6.31,6.31
27.23,6.39,0.00,6.39,0.00,-0.00,-0.00,-0.00,6.39,6.39,6.39
27.50,6.47,0.00,6.47,0.00,-0.00,-0.00,-0.00,6.47,6.47,6.47
27.77,6.53,0.00,6.53,0.00,-0.00,-0.00,-0.00,6.53,6.53,6.53
28.05,6.59,0.00,6.59,0.00,-0.00,-0.00,-0.00,6.59,6.59,6.59
28.33,6.63,0.00,6.63,0.00,-0.00,-0.00,-0.00,6.63,6.63,6.63
28.62,6.67,0.00,6.67,0.00,-0.00,-0.00,-0.00,6.67,6.67,6.67
28.90,6.69,0.00,6.69,0.00,-0.00,-0.00,-0.00,6.69,6.69,6.69
29.19,6.70,0.00,6.70,0.00,-0.00,-0.00,-0.00,6.70,6.70,6.70
29.48,6.71,0.00,6.71,0.00,-0.00,-0.00,-0.00,6.71,6.71,6.71
29.78,6.71,0.00,6.71,0.00,-0.00,-0.00,-0.00,6.71,6.71,6.71
30.08,6.69,0.00,6.69,0.00,-0.00,-0.00,-0.00,6.69,6.69,6.69
30.38,6.67,0.00,6.67,0.00,-0.00,-0.00,-0.00,6.67,6.67,6.67
30.68,6.64,0.00,6.64,0.00,-0.00,-0.00,-0.00,6.64,6.64,6.64
30.99,6.59,0.00,6.59,0.00,-0.00,-0.00,-0.00,6.59,6.59,6.59
31.30,6.54,0.00,6.54,0.00,-0.00,-0.00,-0.00,6.54,6.54,6.54
31.61,6.49,0.00,6.49,0.00,-0.00,-0.00,-0.00,6.49,6.49,6.49
31.93,6.43,0.00,6.43,0.00,-0.00,-0.00,-0.00,6.43,6.43,6.43
32.24,6.38,0.00,6.38,0.00,-0.00,-0.00,-0.00,6.38,6.38,6.38
32.57,6.32,0.00,6.32,0.00,-0.00,-0.00,-0.00,6.32,6.32,6.32
32.89,6.25,0.00,6.25,0.00,-0.00,-0.00,-0.00,6.25,6.25,6.25
33.22,6.19,0.00,6.19,0.00,-0.00,-0.00,-0.00,6.19,6.19,6.19
33.55,6.13,0.00,6.13,0.00,-0.00,-0.00,-0.00,6.13,6.13,6.13
33.89,6.07,0.00,6.07,0.00,-0.00,-0.00,-0.00,6.07,6.07,6.07
34.23,6.01,0.00,6.01,0.00,-0.00,-0.00,-0.00,6.01,6.01,6.01
34.57,5.96,0.00,5.96,0.00,-0.00,-0.00,-0.00,5.96,5.96,5.96
34.92,5.92,0.00,5.92,0.00,-0.00,-0.00,-0.00,5.92,5.92,5.92
35.27,5.89,0.00,5.89,0.00,-0.00,-0.00,-0.00,5.89,5.89,5.89
35.62,5.88,0.00,5.88,0.00,-0.00,-0.00,-0.00,5.88,5.88,5.88
