frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.41,0.00,-0.41,0.00,-0.00,-0.00,-0.00,-0.41,-0.41,-0.41
20.20,-0.38,0.00,-0.39,0.00,-0.00,-0.00,-0.00,-0.38,-0.39,-0.38
20.40,-0.36,0.00,-0.36,0.00,-0.00,-0.00,-0.00,-0.36,-0.36,-0.36
20.61,-0.33,0.00,-0.32,0.00,-0.00,-0.00,-0.00,-0.33,-0.32,-0.33
20.81,-0.27,0.00,-0.27,0.00,-0.00,-0.00,-0.00,-0.27,-0.27,-0.27
21.02,-0.20,0.00,-0.21,0.00,-0.00,-0.00,-0.00,-0.20,-0.21,-0.20
21.23,-0.14,0.00,-0.14,0.00,-0.00,-0.00,-0.00,-0.14,-0.14,-0.14
21.44,-0.07,0.00,-0.07,0.00,-0.00,-0.00,-0.00,-0.07,-0.07,-0.07
21.66,0.02,0.00,0.01,0.00,-0.00,-0.00,-0.00,0.02,0.01,0.02
21.87,0.11,0.00,0.12,0.00,-0.00,-0.00,-0.00,0.11,0.12,0.11
22.09,0.24,0.00,0.25,0.00,-0.00,-0.00,-0.00,0.24,0.25,0.24
22.31,0.40,0.00,0.40,0.00,-0.00,-0.00,-0.00,0.40,0.40,0.40
22.54,0.57,0.00,0.57,0.00,-0.00,-0.00,-0.00,0.57,0.57,0.57
22.76,0.74,0.00,0.74,0.00,-0.00,-0.00,-0.00,0.74,0.74,0.74
22.99,0.90,0.00,0.89,0.00,-0.00,-0.00,-0.00,0.90,0.89,0.90
23.22,1.01,0.00,1.01,0.00,-0.00,-0.00,-0.00,1.01,1.01,1.01
23.45,1.06,0.00,1.06,0.00,-0.00,-0.00,-0.00,1.06,1.06,1.06
23.69,1.06,0.00,1.06,0.00,-0.00,-0.00,-0.00,1.06,1.06,1.06
23.92,0.99,0.00,0.99,0.00,-0.00,-0.00,-0.00,0.99,0.99,0.99
24.16,0.89,0.00,0.88,0.00,-0.00,-0.00,-0.00,0.89,0.88,0.89
24.40,0.75,0.00,0.75,0.00,-0.00,-0.00,-0.00,0.75,0.75,0.75
24.65,0.61,0.00,0.62,0.00,-0.00,-0.00,-0.00,0.61,0.62,0.61
24.89,0.51,0.00,0.52,0.00,-0.00,-0.00,-0.00,0.51,0.52,0.51
25.14,0.47,0.00,0.47,0.00,-0.00,-0.00,-0.00,0.47,0.47,0.47
25.39,0.46,0.00,0.47,0.00,-0.00,-0.00,-0.00,0.46,0.47,0.46
25.65,0.52,0.00,0.52,0.00,-0.00,-0.00,-0.00,0.52,0.52,0.52
25.91,0.59,0.00,0.59,0.00,-0.00,-0.00,-0.00,0.59,0.59,0.59
26.16,0.65,0.00,0.65,0.00,-0.00,-0.00,-0.00,0.65,0.65,0.65
26.43,0.69,0.00,0.68,0.00,-0.00,-0.00,-0.00,0.69,0.68,0.69
26.69,0.69,0.00,0.69,0.00,-0.00,-0.00,-0.00,0.69,0.69,0.69
26.96,0.68,0.00,0.68,0.00,-0.00,-0.00,-0.00,0.68,0.68,0.68
27.23,0.67,0.00,0.67,0.00,-0.00,-0.00,-0.00,0.67,0.67,0.67
27.50,0.67,0.00,0.68,0.00,-0.00,-0.00,-0.00,0.67,0.68,0.67
27.77,0.71,0.00,0.72,0.00,-0.00,-0.00,-0.00,0.71,0.72,0.71
28.05,0.78,0.00,0.78,0.00,-0.00,-0.00,-0.00,0.78,0.78,0.78
28.33,0.87,0.00,0.86,0.00,-0.00,-0.00,-0.00,0.87,0.86,0.87
28.62,0.95,0.00,0.94,0.00,-0.00,-0.00,-0.00,0.95,0.94,0.95
28.90,1.01,0.00,1.01,0.00,-0.00,-0.00,-0.00,1.01,1.01,1.01
29.19,1.05,0.00,1.05,0.00,-0.00,-0.00,-0.00,1.05,1.05,1.05
29.48,1.08,0.00,1.08,0.00,-0.00,-0.00,-0.00,1.08,1.08,1.08
29.78,1.10,0.00,1.10,0.00,-0.00,-0.00,-0.00,1.10,1.10,1.10
30.08,1.14,0.00,1.14,0.00,-0.00,-0.00,-0.00,1.14,1.14,1.14
30.38,1.19,0.00,1.20,0.00,-0.00,-0.00,-0.00,1.19,1.20,1.19
30.68,1.26,0.00,1.26,0.00,-0.00,-0.00,-0.00,1.26,1.26,1.26
30.99,1.30,0.00,1.30,0.00,-0.00,-0.00,-0.00,1.30,1.30,1.30
31.30,1.31,0.00,1.30,0.00,-0.00,-0.00,-0.00,1.31,1.30,1.31
31.61,1.27,0.00,1.26,0.00,-0.00,-0.00,-0.00,1.27,1.26,1.27
31.93,1.18,0.00,1.18,0.00,-0.00,-0.00,-0.00,1.18,1.18,1.18
32.24,1.09,0.00,1.09,0.00,-0.00,-0.00,-0.00,1.09,1.09,1.09
32.57,1.01,0.00,1.02,0.00,-0.00,-0.00,-0.00,1.01,1.02,1.01
32.89,1.00,0.00,1.01,0.00,-0.00,-0.00,-0.00,1.00,1.01,1.00
33.22,1.06,0.00,1.06,0.00,-0.00,-0.00,-0.00,1.06,1.06,1.06
33.55,1.16,0.00,1.16,0.00,-0.00,-0.00,-0.00,1.16,1.16,1.16
33.89,1.27,0.00,1.26,0.00,-0.00,-0.00,-0.00,1.27,1.26,1.27
34.23,1.34,0.00,1.33,0.00,-0.00,-0.00,-0.00,1.34,1.33,1.34
34.57,1.37,0.00,1.36,0.00,-0.00,-0.00,-0.00,1.37,1.36,1.37
34.92,1.35,0.00,1.35,0.00,-0.00,-0.00,-0.00,1.35,1.35,1.35
35.27,1.31,0.00,1.31,0.00,-0.00,-0.00,-0.00,1.31,1.31,1.31
35.62,1.26,0.00,1.27,0.00,-0.00,-0.00,-0.00,1.26,1.27,1.26
35.97,1.23,0.00,1.23,0.00,-0.00,-0.00,-0.00,1.23,1.23,1.23
36.33,1.21,0.00,1.21,0.00,-0.00,-0.00,-0.00,1.21,1.21,1.21
36.70,1.19,0.00,1.18,0.00,-0.00,-0.00,-0.00,1.19,1.18,1.19
37.06,1.16,0.00,1.16,0.00,-0.00,-0.00,-0.00,1.16,1.16,1.16
37.43,1.12,0.00,1.13,0.00,-0.00,-0.00,-0.00,1.12,1.13,1.12
37.81,1.10,0.00,1.10,0.00,-0.00,-0.00,-0.00,1.10,1.10,1.10
38.19,1.08,0.00,1.08,0.00,-0.00,-0.00,-0.00,1.08,1.08,1.08
38.57,1.07,0.00,1.06,0.00,-0.00,-0.00,-0.00,1.07,1.06,1.07
38.95,1.05,0.00,1.04,0.00,-0.00,-0.00,-0.00,1.05,1.04,1.05
39.34,1.02,0.00,1.02,0.00,-0.00,-0.00,-0.00,1.02,1.02,1.02
39.74,1.00,0.00,1.00,0.00,-0.00,-0.00,-0.00,1.00,1.00,1.00
40.14,1.00,0.00,1.00,0.00,-0.00,-0.00,-0.00,1.00,1.00,1.00
40.54,1.04,0.00,1.05,0.00,-0.00,-0.00,-0.00,1.04,1.05,1.04
40.94,1.14,0.00,1.14,0.00,-0.00,-0.00,-0.00,1.14,1.14,1.14
41.35,1.25,0.00,1.25,0.00,-0.00,-0.00,-0.00,1.25,1.25,1.25
41.76,1.36,0.00,1.35,0.00,-0.00,-0.00,-0.00,1.36,1.35,1.36
42.18,1.44,0.00,1.44,0.00,-0.00,-0.00,-0.00,1.44,1.44,1.44
42.60,1.49,0.00,1.49,0.00,-0.00,-0.00,-0.00,1.49,1.49,1.49
43.03,1.51,0.00,1.51,0.00,-0.00,-0.00,-0.00,1.51,1.51,1.51
43.46,1.49,0.00,1.49,0.00,-0.00,-0.00,-0.00,1.49,1.49,1.49
43.90,1.44,0.00,1.44,0.00,-0.00,-0.00,-0.00,1.44,1.44,1.44
44.33,1.36,0.00,1.36,0.00,-0.00,-0.00,-0.00,1.36,1.36,1.36
44.78,1.28,0.00,1.28,0.00,-0.00,-0.00,-0.00,1.28,1.28,1.28
45.23,1.23,0.00,1.25,0.00,-0.00,-0.00,-0.00,1.23,1.25,1.23
45.68,1.27,0.00,1.28,0.00,-0.00,-0.00,-0.00,1.27,1.28,1.27
46.13,1.38,0.00,1.38,0.00,-0.00,-0.00,-0.00,1.38,1.38,1.38
46.60,1.54,0.00,1.53,0.00,-0.00,-0.00,-0.00,1.54,1.53,1.54
47.06,1.67,0.00,1.67,0.00,-0.00,-0.00,-0.00,1.67,1.67,1.67
47.53,1.78,0.00,1.77,0.00,-0.00,-0.00,-0.00,1.78,1.77,1.78
48.01,1.80,0.00,1.80,0.00,-0.00,-0.00,-0.00,1.80,1.80,1.80
48.49,1.77,0.00,1.77,0.00,-0.00,-0.00,-0.00,1.77,1.77,1.77
48.97,1.69,0.00,1.69,0.00,-0.00,-0.00,-0.00,1.69,1.69,1.69
49.46,1.59,0.00,1.59,0.00,-0.00,-0.00,-0.00,1.59,1.59,1.59
49.96,1.49,0.00,1.50,0.00,-0.00,-0.00,-0.00,1.49,1.50,1.49
50.46,1.42,0.00,1.42,0.00,-0.00,-0.00,-0.00,1.42,1.42,1.42
50.96,1.38,0.00,1.39,0.00,-0.00,-0.00,-0.00,1.38,1.39,1.38
51.47,1.39,0.00,1.40,0.00,-0.00,-0.00,-0.00,1.39,1.40,1.39
51.99,1.46,0.00,1.46,0.00,-0.00,-0.00,-0.00,1.46,1.46,1.46
52.51,1.55,0.00,1.56,0.00,-0.00,-0.00,-0.00,1.55,1.56,1.55
53.03,1.66,0.00,1.65,0.00,-0.00,-0.00,-0.00,1.66,1.65,1.66
53.56,1.73,0.00,1.72,0.00,-0.00,-0.00,-0.00,1.73,1.72,1.73
54.10,1.75,0.00,1.74,0.00,-0.00,-0.00,-0.00,1.75,1.74,1.75
54.64,1.71,0.00,1.70,0.00,-0.00,-0.00,-0.00,1.71,1.70,1.71
55.18,1.61,0.00,1.62,0.00,-0.00,-0.00,-0.00,1.61,1.62,1.61
55.74,1.50,0.00,1.51,0.00,-0.00,-0.00,-0.00,1.50,1.51,1.50
56.29,1.40,0.00,1.41,0.00,-0.00,-0.00,-0.00,1.40,1.41,1.40
56.86,1.31,0.00,1.30,0.00,-0.00,-0.00,-0.00,1.31,1.30,1.31
57.42,1.22,0.00,1.21,0.00,-0.00,-0.00,-0.00,1.22,1.21,1.22
58.00,1.13,0.00,1.14,0.00,-0.00,-0.00,-0.00,1.13,1.14,1.13
