frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.09,0.00,8.08,0.00,-0.00,-0.00,-0.00,8.09,8.08,8.09
20.20,8.11,0.00,8.11,0.00,-0.00,-0.00,-0.00,8.11,8.11,8.11
20.40,8.12,0.00,8.13,0.00,-0.00,-0.00,-0.00,8.12,8.13,8.12
20.61,8.14,0.00,8.14,0.00,-0.00,-0.00,-0.00,8.14,8.14,8.14
20.81,8.15,0.00,8.15,0.00,-0.00,-0.00,-0.00,8.15,8.15,8.15
21.02,8.15,0.00,8.15,0.00,-0.00,-0.00,-0.00,8.15,8.15,8.15
21.23,8.14,0.00,8.14,0.00,-0.00,-0.00,-0.00,8.14,8.14,8.14
21.44,8.13,0.00,8.12,0.00,-0.00,-0.00,-0.00,8.13,8.12,8.13
21.66,8.10,0.00,8.10,0.00,-0.00,-0.00,-0.00,8.10,8.10,8.10
21.87,8.08,0.00,8.08,0.00,-0.00,-0.00,-0.00,8.08,8.08,8.08
22.09,8.06,0.00,8.06,0.00,-0.00,-0.00,-0.00,8.06,8.06,8.06
22.31,8.04,0.00,8.04,0.00,-0.00,-0.00,-0.00,8.04,8.04,8.04
22.54,8.02,0.00,8.02,0.00,-0.00,-0.00,-0.00,8.02,8.02,8.02
22.76,8.00,0.00,8.00,0.00,-0.00,-0.00,-0.00,8.00,8.00,8.00
22.99,7.99,0.00,7.99,0.00,-0.00,-0.00,-0.00,7.99,7.99,7.99
23.22,7.97,0.00,7.97,0.00,-0.00,-0.00,-0.00,7.97,7.97,7.97
23.45,7.96,0.00,7.96,0.00,-0.00,-0.00,-0.00,7.96,7.96,7.96
23.69,7.95,0.00,7.95,0.00,-0.00,-0.00,-0.00,7.95,7.95,7.95
23.92,7.95,0.00,7.95,0.00,-0.00,-0.00,-0.00,7.95,7.95,7.95
24.16,7.94,0.00,7.94,0.00,-0.00,-0.00,-0.00,7.94,7.94,7.94
24.40,7.94,0.00,7.94,0.00,-0.00,-0.00,-0.00,7.94,7.94,7.94
24.65,7.94,0.00,7.94,0.00,-0.00,-0.00,-0.00,7.94,7.94,7.94
24.89,7.94,0.00,7.94,0.00,-0.00,-0.00,-0.00,7.94,7.94,7.94
25.14,7.94,0.00,7.94,0.00,-0.00,-0.00,-0.00,7.94,7.94,7.94
25.39,7.93,0.00,7.93,0.00,-0.00,-0.00,-0.00,7.93,7.93,7.93
25.65,7.93,0.00,7.93,0.00,-0.00,-0.00,-0.00,7.93,7.93,7.93
25.91,7.92,0.00,7.92,0.00,-0.00,-0.00,-0.00,7.92,7.92,7.92
26.16,7.92,0.00,7.92,0.00,-0.00,-0.00,-0.00,7.92,7.92,7.92
26.43,7.91,0.00,7.91,0.00,-0.00,-0.00,-0.00,7.91,7.91,7.91
26.69,7.91,0.00,7.91,0.00,-0.00,-0.00,-0.00,7.91,7.91,7.91
26.96,7.91,0.00,7.91,0.00,-0.00,-0.00,-0.00,7.91,7.91,7.91
27.23,7.90,0.00,7.90,0.00,-0.00,-0.00,-0.00,7.90,7.90,7.90
27.50,7.88,0.00,7.88,0.00,-0.00,-0.00,-0.00,7.88,7.88,7.88
27.77,7.85,0.00,7.85,0.00,-0.00,-0.00,-0.00,7.85,7.85,7.85
28.05,7.81,0.00,7.81,0.00,-0.00,-0.00,-0.00,7.81,7.81,7.81
28.33,7.76,0.00,7.76,0.00,-0.00,-0.00,-0.00,7.76,7.76,7.76
28.62,7.71,0.00,7.71,0.00,-0.00,-0.00,-0.00,7.71,7.71,7.71
28.90,7.66,0.00,7.66,0.00,-0.00,-0.00,-0.00,7.66,7.66,7.66
29.19,7.61,0.00,7.61,0.00,-0.00,-0.00,-0.00,7.61,7.61,7.61
29.48,7.56,0.00,7.56,0.00,-0.00,-0.00,-0.00,7.56,7.56,7.56
29.78,7.51,0.00,7.51,0.00,-0.00,-0.00,-0.00,7.51,7.51,7.51
30.08,7.47,0.00,7.46,0.00,-0.00,-0.00,-0.00,7.47,7.46,7.47
30.38,7.42,0.00,7.42,0.00,-0.00,-0.00,-0.00,7.42,7.42,7.42
30.68,7.38,0.00,7.38,0.00,-0.00,-0.00,-0.00,7.38,7.38,7.38
30.99,7.35,0.00,7.35,0.00,-0.00,-0.00,-0.00,7.35,7.35,7.35
31.30,7.33,0.00,7.33,0.00,-0.00,-0.00,-0.00,7.33,7.33,7.33
31.61,7.31,0.00,7.31,0.00,-0.00,-0.00,-0.00,7.31,7.31,7.31
31.93,7.30,0.00,7.30,0.00,-0.00,-0.00,-0.00,7.30,7.30,7.30
