frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.80,0.00,3.81,0.00,-0.00,-0.00,-0.00,3.80,3.81,3.80
20.20,3.83,0.00,3.82,0.00,-0.00,-0.00,-0.00,3.83,3.82,3.83
20.40,3.84,0.00,3.84,0.00,-0.00,-0.00,-0.00,3.84,3.84,3.84
20.61,3.86,0.00,3.86,0.00,-0.00,-0.00,-0.00,3.86,3.86,3.86
20.81,3.88,0.00,3.88,0.00,-0.00,-0.00,-0.00,3.88,3.88,3.88
21.02,3.90,0.00,3.90,0.00,-0.00,-0.00,-0.00,3.90,3.90,3.90
21.23,3.93,0.00,3.93,0.00,-0.00,-0.00,-0.00,3.93,3.93,3.93
21.44,3.96,0.00,3.96,0.00,-0.00,-0.00,-0.00,3.96,3.96,3.96
21.66,4.01,0.00,4.00,0.00,-0.00,-0.00,-0.00,4.01,4.00,4.01
21.87,4.05,0.00,4.05,0.00,-0.00,-0.00,-0.00,4.05,4.05,4.05
22.09,4.09,0.00,4.09,0.00,-0.00,-0.00,-0.00,4.09,4.09,4.09
22.31,4.13,0.00,4.13,0.00,-0.00,-0.00,-0.00,4.13,4.13,4.13
22.54,4.16,0.00,4.16,0.00,-0.00,-0.00,-0.00,4.16,4.16,4.16
22.76,4.18,0.00,4.18,0.00,-0.00,-0.00,-0.00,4.18,4.18,4.18
22.99,4.20,0.00,4.19,0.00,-0.00,-0.00,-0.00,4.20,4.19,4.20
23.22,4.20,0.00,4.20,0.00,-0.00,-0.00,-0.00,4.20,4.20,4.20
23.45,4.21,0.00,4.21,0.00,-0.00,-0.00,-0.00,4.21,4.21,4.21
23.69,4.22,0.00,4.22,0.00,-0.00,-0.00,-0.00,4.22,4.22,4.22
23.92,4.24,0.00,4.24,0.00,-0.00,-0.00,-0.00,4.24,4.24,4.24
24.16,4.26,0.00,4.26,0.00,-0.00,-0.00,-0.00,4.26,4.26,4.26
24.40,4.28,0.00,4.28,0.00,-0.00,-0.00,-0.00,4.28,4.28,4.28
24.65,4.30,0.00,4.30,0.00,-0.00,-0.00,-0.00,4.30,4.30,4.30
24.89,4.33,0.00,4.33,0.00,-0.00,-0.00,-0.00,4.33,4.33,4.33
25.14,4.34,0.00,4.34,0.00,-0.00,-0.00,-0.00,4.34,4.34,4.34
25.39,4.36,0.00,4.36,0.00,-0.00,-0.00,-0.00,4.36,4.36,4.36
25.65,4.37,0.00,4.37,0.00,-0.00,-0.00,-0.00,4.37,4.37,4.37
25.91,4.38,0.00,4.38,0.00,-0.00,-0.00,-0.00,4.38,4.38,4.38
26.16,4.38,0.00,4.38,0.00,-0.00,-0.00,-0.00,4.38,4.38,4.38
26.43,4.39,0.00,4.39,0.00,-0.00,-0.00,-0.00,4.39,4.39,4.39
26.69,4.40,0.00,4.40,0.00,-0.00,-0.00,-0.00,4.40,4.40,4.40
26.96,4.41,0.00,4.41,0.00,-0.00,-0.00,-0.00,4.41,4.41,4.41
27.23,4.42,0.00,4.42,0.00,-0.00,-0.00,-0.00,4.42,4.42,4.42
27.50,4.44,0.00,4.44,0.00,-0.00,-0.00,-0.00,4.44,4.44,4.44
27.77,4.46,0.00,4.46,0.00,-0.00,-0.00,-0.00,4.46,4.46,4.46
28.05,4.49,0.00,4.49,0.00,-0.00,-0.00,-0.00,4.49,4.49,4.49
28.33,4.53,0.00,4.53,0.00,-0.00,-0.00,-0.00,4.53,4.53,4.53
28.62,4.56,0.00,4.56,0.00,-0.00,-0.00,-0.00,4.56,4.56,4.56
28.90,4.61,0.00,4.61,0.00,-0.00,-0.00,-0.00,4.61,4.61,4.61
29.19,4.65,0.00,4.65,0.00,-0.00,-0.00,-0.00,4.65,4.65,4.65
29.48,4.70,0.00,4.70,0.00,-0.00,-0.00,-0.00,4.70,4.70,4.70
29.78,4.74,0.00,4.74,0.00,-0.00,-0.00,-0.00,4.74,4.74,4.74
