frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.60,0.00,8.60,0.00,-0.00,-0.00,-0.00,8.60,8.60,8.60
20.20,8.60,0.00,8.60,0.00,-0.00,-0.00,-0.00,8.60,8.60,8.60
20.40,8.60,0.00,8.60,0.00,-0.00,-0.00,-0.00,8.60,8.60,8.60
20.61,8.61,0.00,8.61,0.00,-0.00,-0.00,-0.00,8.61,8.61,8.61
20.81,8.61,0.00,8.61,0.00,-0.00,-0.00,-0.00,8.61,8.61,8.61
21.02,8.62,0.00,8.62,0.00,-0.00,-0.00,-0.00,8.62,8.62,8.62
21.23,8.62,0.00,8.62,0.00,-0.00,-0.00,-0.00,8.62,8.62,8.62
21.44,8.63,0.00,8.63,0.00,-0.00,-0.00,-0.00,8.63,8.63,8.63
21.66,8.64,0.00,8.64,0.00,-0.00,-0.00,-0.00,8.64,8.64,8.64
21.87,8.65,0.00,8.65,0.00,-0.00,-0.00,-0.00,8.65,8.65,8.65
22.09,8.65,0.00,8.65,0.00,-0.00,-0.00,-0.00,8.65,8.65,8.65
22.31,8.66,0.00,8.66,0.00,-0.00,-0.00,-0.00,8.66,8.66,8.66
22.54,8.67,0.00,8.67,0.00,-0.00,-0.00,-0.00,8.67,8.67,8.67
22.76,8.68,0.00,8.68,0.00,-0.00,-0.00,-0.00,8.68,8.68,8.68
22.99,8.69,0.00,8.69,0.00,-0.00,-0.00,-0.00,8.69,8.69,8.69
23.22,8.69,0.00,8.69,0.00,-0.00,-0.00,-0.00,8.69,8.69,8.69
23.45,8.70,0.00,8.70,0.00,-0.00,-0.00,-0.00,8.70,8.70,8.70
23.69,8.70,0.00,8.70,0.00,-0.00,-0.00,-0.00,8.70,8.70,8.70
23.92,8.69,0.00,8.69,0.00,-0.00,-0.00,-0.00,8.69,8.69,8.69
24.16,8.69,0.00,8.69,0.00,-0.00,-0.00,-0.00,8.69,8.69,8.69
24.40,8.69,0.00,8.69,0.00,-0.00,-0.00,-0.00,8.69,8.69,8.69
24.65,8.69,0.00,8.69,0.00,-0.00,-0.00,-0.00,8.69,8.69,8.69
24.89,8.70,0.00,8.70,0.00,-0.00,-0.00,-0.00,8.70,8.70,8.70
25.14,8.70,0.00,8.70,0.00,-0.00,-0.00,-0.00,8.70,8.70,8.70
25.39,8.71,0.00,8.71,0.00,-0.00,-0.00,-0.00,8.71,8.71,8.71
25.65,8.72,0.00,8.72,0.00,-0.00,-0.00,-0.00,8.72,8.72,8.72
25.91,8.73,0.00,8.73,0.00,-0.00,-0.00,-0.00,8.73,8.73,8.73
26.16,8.73,0.00,8.73,0.00,-0.00,-0.00,-0.00,8.73,8.73,8.73
26.43,8.73,0.00,8.73,0.00,-0.00,-0.00,-0.00,8.73,8.73,8.73
26.69,8.73,0.00,8.73,0.00,-0.00,-0.00,-0.00,8.73,8.73,8.73
26.96,8.73,0.00,8.73,0.00,-0.00,-0.00,-0.00,8.73,8.73,8.73
27.23,8.73,0.00,8.73,0.00,-0.00,-0.00,-0.00,8.73,8.73,8.73
27.50,8.72,0.00,8.72,0.00,-0.00,-0.00,-0.00,8.72,8.72,8.72
27.77,8.72,0.00,8.72,0.00,-0.00,-0.00,-0.00,8.72,8.72,8.72
28.05,8.71,0.00,8.71,0.00,-0.00,-0.00,-0.00,8.71,8.71,8.71
28.33,8.70,0.00,8.70,0.00,-0.00,-0.00,-0.00,8.70,8.70,8.70
28.62,8.68,0.00,8.68,0.00,-0.00,-0.00,-0.00,8.68,8.68,8.68
28.90,8.67,0.00,8.67,0.00,-0.00,-0.00,-0.00,8.67,8.67,8.67
29.19,8.66,0.00,8.66,0.00,-0.00,-0.00,-0.00,8.66,8.66,8.66
29.48,8.65,0.00,8.65,0.00,-0.00,-0.00,-0.00,8.65,8.65,8.65
29.78,8.65,0.00,8.65,0.00,-0.00,-0.00,-0.00,8.65,8.65,8.65
30.08,8.65,0.00,8.65,0.00,-0.00,-0.00,-0.00,8.65,8.65,8.65
30.38,8.66,0.00,8.66,0.00,-0.00,-0.00,-0.00,8.66,8.66,8.66
30.68,8.67,0.00,8.67,0.00,-0.00,-0.00,-0.00,8.67,8.67,8.67
30.99,8.68,0.00,8.68,0.00,-0.00,-0.00,-0.00,8.68,8.68,8.68
31.30,8.69,0.00,8.69,0.00,-0.00,-0.00,-0.00,8.69,8.69,8.69
31.61,8.69,0.00,8.69,0.00,-0.00,-0.00,-0.00,8.69,8.69,8.69
31.93,8.68,0.00,8.68,0.00,-0.00,-0.00,-0.00,8.68,8.68,8.68
32.24,8.67,0.00,8.67,0.00,-0.00,-0.00,-0.00,8.67,8.67,8.67
32.57,8.66,0.00,8.66,0.00,-0.00,-0.00,-0.00,8.66,8.66,8.66
32.89,8.65,0.00,8.65,0.00,-0.00,-0.00,-0.00,8.65,8.65,8.65
33.22,8.64,0.00,8.64,0.00,-0.00,-0.00,-0.00,8.64,8.64,8.64
33.55,8.64,0.00,8.64,0.00,-0.00,-0.00,-0.00,8.64,8.64,8.64
33.89,8.63,0.00,8.63,0.00,-0.00,-0.00,-0.00,8.63,8.63,8.63
34.23,8.63,0.00,8.63,0.00,-0.00,-0.00,-0.00,8.63,8.63,8.63
34.57,8.62,0.00,8.62,0.00,-0.00,-0.00,-0.00,8.62,8.62,8.62
34.92,8.61,0.00,8.61,0.00,-0.00,-0.00,-0.00,8.61,8.61,8.61
35.27,8.60,0.00,8.60,0.00,-0.00,-0.00,-0.00,8.60,8.60,8.60
35.62,8.60,0.00,8.60,0.00,-0.00,-0.00,-0.00,8.60,8.60,8.60
35.97,8.59,0.00,8.59,0.00,-0.00,-0.00,-0.00,8.59,8.59,8.59
36.33,8.58,0.00,8.58,0.00,-0.00,-0.00,-0.00,8.58,8.58,8.58
36.70,8.58,0.00,8.58,0.00,-0.00,-0.00,-0.00,8.58,8.58,8.58
37.06,8.57,0.00,8.57,0.00,-0.00,-0.00,-0.00,8.57,8.57,8.57
37.43,8.56,0.00,8.56,0.00,-0.00,-0.00,-0.00,8.56,8.56,8.56
37.81,8.55,0.00,8.55,0.00,-0.00,-0.00,-0.00,8.55,8.55,8.55
38.19,8.54,0.00,8.54,0.00,-0.00,-0.00,-0.00,8.54,8.54,8.54
38.57,8.54,0.00,8.53,0.00,-0.00,-0.00,-0.00,8.54,8.53,8.54
38.95,8.53,0.00,8.53,0.00,-0.00,-0.00,-0.00,8.53,8.53,8.53
39.34,8.52,0.00,8.52,0.00,-0.00,-0.00,-0.00,8.52,8.52,8.52
39.74,8.50,0.00,8.50,0.00,-0.00,-0.00,-0.00,8.50,8.50,8.50
40.14,8.49,0.00,8.49,0.00,-0.00,-0.00,-0.00,8.49,8.49,8.49
40.54,8.48,0.00,8.48,0.00,-0.00,-0.00,-0.00,8.48,8.48,8.48
40.94,8.47,0.00,8.47,0.00,-0.00,-0.00,-0.00,8.47,8.47,8.47
41.35,8.46,0.00,8.46,0.00,-0.00,-0.00,-0.00,8.46,8.46,8.46
41.76,8.44,0.00,8.44,0.00,-0.00,-0.00,-0.00,8.44,8.44,8.44
42.18,8.43,0.00,8.43,0.00,-0.00,-0.00,-0.00,8.43,8.43,8.43
42.60,8.42,0.00,8.42,0.00,-0.00,-0.00,-0.00,8.42,8.42,8.42
43.03,8.41,0.00,8.41,0.00,-0.00,-0.00,-0.00,8.41,8.41,8.41
43.46,8.40,0.00,8.40,0.00,-0.00,-0.00,-0.00,8.40,8.40,8.40
43.90,8.39,0.00,8.39,0.00,-0.00,-0.00,-0.00,8.39,8.39,8.39
44.33,8.37,0.00,8.37,0.00,-0.00,-0.00,-0.00,8.37,8.37,8.37
44.78,8.36,0.00,8.36,0.00,-0.00,-0.00,-0.00,8.36,8.36,8.36
45.23,8.35,0.00,8.35,0.00,-0.00,-0.00,-0.00,8.35,8.35,8.35
45.68,8.34,0.00,8.34,0.00,-0.00,-0.00,-0.00,8.34,8.34,8.34
46.13,8.33,0.00,8.33,0.00,-0.00,-0.00,-0.00,8.33,8.33,8.33
46.60,8.32,0.00,8.32,0.00,-0.00,-0.00,-0.00,8.32,8.32,8.32
47.06,8.31,0.00,8.31,0.00,-0.00,-0.00,-0.00,8.31,8.31,8.31
47.53,8.29,0.00,8.29,0.00,-0.00,-0.00,-0.00,8.29,8.29,8.29
48.01,8.28,0.00,8.28,0.00,-0.00,-0.00,-0.00,8.28,8.28,8.28
48.49,8.26,0.00,8.26,0.00,-0.00,-0.00,-0.00,8.26,8.26,8.26
48.97,8.25,0.00,8.25,0.00,-0.00,-0.00,-0.00,8.25,8.25,8.25
49.46,8.23,0.00,8.23,0.00,-0.00,-0.00,-0.00,8.23,8.23,8.23
49.96,8.22,0.00,8.22,0.00,-0.00,-0.00,-0.00,8.22,8.22,8.22
50.46,8.20,0.00,8.20,0.00,-0.00,-0.00,-0.00,8.20,8.20,8.20
50.96,8.18,0.00,8.18,0.00,-0.00,-0.00,-0.00,8.18,8.18,8.18
51.47,8.16,0.00,8.16,0.00,-0.00,-0.00,-0.00,8.16,8.16,8.16
